max,mean,min,std,spacing,size,image_name
1176.0,190.16773710195085,0.0,153.80200138096433,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0111_prostate.nii.gz
1377.0,207.11189354790582,0.0,178.35701394840197,"[0.5, 0.5, 3.0]","[384, 384, 24]",ProstateX-0039_prostate.nii.gz
1291.0,233.8448683763587,0.0,175.66924982384396,"[0.5625, 0.5625, 3.0]","[320, 320, 23]",ProstateX-0219_prostate.nii.gz
1163.0,223.37256928943452,0.0,159.17386140099458,"[0.5625, 0.5625, 3.0]","[320, 320, 21]",ProstateX-0249_prostate.nii.gz
1337.0,232.59086552372685,0.0,200.75707816322372,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0020_prostate.nii.gz
1408.0,191.6584397700795,0.0,173.11933968351622,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0072_prostate.nii.gz
1060.0,204.4045995522661,0.0,159.61194299809307,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0177_prostate.nii.gz
1141.0,212.5126581747065,0.0,162.07026990830437,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0154_prostate.nii.gz
929.0,172.61819975557384,0.0,147.32113809567892,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0323_prostate.nii.gz
1330.0,222.89611436631944,0.0,164.81191871489685,"[0.5, 0.5, 3.0]","[384, 384, 25]",ProstateX-0120_prostate.nii.gz
1297.0,290.24084686814695,0.0,197.51264652995306,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0046_prostate.nii.gz
1153.0,236.5683021729695,0.0,169.19433151304386,"[0.5, 0.5, 3.0]","[384, 384, 23]",ProstateX-0007_prostate.nii.gz
1016.0,209.0918537119709,0.0,170.45107599158902,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0340_prostate.nii.gz
1232.0,275.11602284307065,0.0,177.000240998035,"[0.6000000238418579, 0.6000000238418579, 3.0]","[320, 320, 23]",ProstateX-0107_prostate.nii.gz
1401.0,291.8429939896588,0.0,193.8247536655236,"[0.5, 0.5, 3.0]","[384, 384, 23]",ProstateX-0080_prostate.nii.gz
1275.0,261.2787037417763,0.0,174.86624933463008,"[0.5625, 0.5625, 3.0]","[320, 320, 19]",ProstateX-0227_prostate.nii.gz
1153.0,259.79614222119426,0.0,175.98208441515126,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0015_prostate.nii.gz
1126.0,216.88213575932016,0.0,165.09917424530815,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0044_prostate.nii.gz
1378.0,266.26860323008043,0.0,216.31335355954772,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0184_prostate.nii.gz
1648.0,263.08167506167763,0.0,198.8940295336085,"[0.5625, 0.5625, 3.0]","[320, 320, 19]",ProstateX-0254_prostate.nii.gz
1094.0,250.81678214905753,0.0,172.61311790761314,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0188_prostate.nii.gz
1176.0,212.89102297777322,0.0,171.779290479289,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0304_prostate.nii.gz
1061.0,251.55096731085527,0.0,177.03862495185297,"[0.5625, 0.5625, 5.0]","[320, 320, 19]",ProstateX-0241_prostate.nii.gz
1155.0,228.69782886170503,0.0,173.68323128835502,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0094_prostate.nii.gz
1078.0,229.28935766472387,0.0,176.0222721220182,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0070_prostate.nii.gz
945.0,228.21609943233736,0.0,153.45020445918456,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0084_prostate.nii.gz
1248.0,248.25856106874173,0.0,191.4500773836118,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0176_prostate.nii.gz
911.0,173.8553270484969,0.0,137.7134016976938,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0168_prostate.nii.gz
1261.0,201.87941166392545,0.0,161.54032929247325,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0190_prostate.nii.gz
957.0,219.02494626322752,0.0,166.11293867494888,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0134_prostate.nii.gz
848.0,176.55186535063245,0.0,118.65836250877408,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0146_prostate.nii.gz
1058.0,255.16869439019098,0.0,178.8057107298376,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0009_prostate.nii.gz
862.0,209.99072122852704,0.0,144.99508762964274,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0311_prostate.nii.gz
1127.0,205.11942416397983,0.0,159.25849730145552,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0196_prostate.nii.gz
1913.0,324.5091615696957,0.0,213.40225762869508,"[0.30000001192092896, 0.30000001192092896, 3.0]","[640, 640, 19]",ProstateX-0166_prostate.nii.gz
1249.0,235.25907357029183,0.0,196.207550978503,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0102_prostate.nii.gz
1546.0,260.7608978713768,0.0,204.3023005231655,"[0.5, 0.5, 3.0]","[384, 384, 23]",ProstateX-0161_prostate.nii.gz
1284.0,188.0947288876488,0.0,166.16396695160267,"[0.6000000238418579, 0.6000000238418579, 3.0]","[320, 320, 21]",ProstateX-0054_prostate.nii.gz
1202.0,212.651634528623,0.0,180.03930849309052,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0320_prostate.nii.gz
1167.0,200.5175241663836,0.0,169.09225876701748,"[0.5, 0.5, 3.0]","[384, 384, 23]",ProstateX-0089_prostate.nii.gz
1151.0,214.7397407863451,0.0,168.8679269004169,"[0.5, 0.5, 3.0]","[384, 384, 23]",ProstateX-0118_prostate.nii.gz
1549.0,237.5653001896288,0.0,194.2005551563054,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0066_prostate.nii.gz
1442.0,244.69028120431287,0.0,189.74518445469022,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0083_prostate.nii.gz
